Protein1,Protein2
P0AE39,P0AFT5
P77396,P09378
P77396,P32677
P77439,P08839
P77439,P37177
P77439,P32670
P77585,P32153
P77585,P39366
P77579,P32672
P69808,P69816
P69808,P32676
P64542,P75616
P0AFF2,P33021
P0AFF2,P33024
P0CF93,P0CF91
P0CF93,P0CF92
P23842,P77172
P23841,P27111
P23841,P52696
P23841,P0A9F3
P23841,P77309
P23841,P77559
P23841,Q47083
P23841,Q47005
P23841,P0ACR4
P23841,P0ACR7
P23841,Q47141
P23841,P33634
P23841,P03030
P23841,P0ACQ7
P23841,P05827
P23841,P0A9F9
P23841,P0ACQ4
P45562,P02920
P45562,P76417
P45562,Q47142
P45562,P0AFF4
P0ACR7,P27111
P0ACR7,P52696
P0ACR7,P0A9F3
P0ACR7,P77171
P0ACR7,P77309
P0ACR7,P77559
P0ACR7,Q47083
P0ACR7,Q47005
P0ACR7,P0ACR4
P0ACR7,P36771
P0ACR7,P23841
P0ACR7,Q47141
P0ACR7,P33634
P0ACR7,P03030
P0ACR7,P0ACQ7
P0ACR7,P05827
P0ACR7,P0A9F9
P0ACR7,P0ACQ4
P0ABK5,P16703
P0AA04,P0A9N0
P08839,P77439
P08839,P37177
P40191,P77150
P16703,P0ABK5
P16676,P07821
P16676,P30750
P16676,P37009
P16676,P0AAG3
P16676,P10346
P16676,P31134
P16676,P0AAF6
P16676,P69874
P16676,P76027
P16676,P0AAH8
P16676,P77795
P16676,P77268
P16676,P37774
P16676,P33360
P16676,P07109
P16676,P45769
P16676,P10907
P16676,P22731
P16676,P0A9S7
P16676,P0AAH0
P16676,P68187
P16676,P16678
P16676,P15031
P0AEB0,P0AF01
P0AEB0,P0AFL1
P0AEB0,P0AFK6
P0AEB0,P0AFK4
P0AEB0,P0AFR9
P0AEB0,P16701
P16701,P0AF01
P16701,P31135
P16701,P0AFL1
P16701,P0AFK6
P16701,P0AFK4
P16701,P0AFR9
P16701,P0AEB0
P16701,P07654
P16700,P0AG78
P37440,P0AFP4
P37440,P15047
P37440,P0AEK2
P37440,P31808
P37440,P39831
P37440,P0AET8
P37440,P33368
P37440,P0CI31
P37440,P05707
P37440,P76633
P37440,P37769
P37440,P52037
P37440,P0AG84
P37440,P39333
P37440,P0A9P9
P77245,P46118
P77245,P37767
P77245,P0ACS7
P77272,P24241
P77272,P08722
P77272,P36672
P36548,P63883
P76542,P37326
P76542,P32053
P76553,P0A9S1
P76553,Q46856
P76553,P37686
P0A867,P0A870
P33570,P77488
P33570,P27302
P37128,Q93K97
P37128,P45799
P37127,P76440
P37127,Q46820
P37127,P09832
P27896,P0AFA2
P24177,P31224
P24177,P38054
P24177,P76398
P24177,P76399
P24177,P24181
P24177,P37637
P0AED7,P65807
P0AED7,P23908
P0A6L2,P75682
P0A6L2,P0A6L4
P0A6L2,P39359
P23481,P18776
P23481,P0AAJ1
P23481,P77375
P23481,P0AAK4
P23481,P0AAK1
P23481,Q46819
P23481,P56256
P23481,P0AAK7
P23482,P33607
P23482,P77416
P23482,P77437
P23482,P16429
P77858,P0AFD4
P77858,P16430
P77416,P0AFF0
P77416,P0AFE8
P77416,P33607
P77416,P23482
P77416,P77437
P77416,P16429
P77437,P0AFF0
P77437,P0AFE8
P77437,P33607
P77437,P23482
P77437,P77416
P77329,P33599
P77329,P16431
P77423,P0AFD6
P77423,P16432
P77668,P16433
P77453,P0AEV7
P71229,P19323
P77733,P0AC23
P77733,P0AC26
P0AFI9,P0AFS5
P0AFI9,P0AGM0
P76569,P0AB96
P0AGM7,P75892
P0AGM7,P67444
P0AGM7,Q46821
P0AGM7,P0AGM9
P0AFL6,P25552
P77172,P23842
P31142,P78067
P37095,P68767
P0A6Z1,P0A6Y8
P0A6Z1,P77319
P0AAC8,P0ACC3
P0AAC8,P77667
P0AGK8,P0AF63
P0AE01,P37005
P0ADG4,P22255
P77538,P76049
Q47142,P02920
Q47142,P76417
Q47142,P45562
Q47142,P0AFF4
Q47141,P27111
Q47141,P52696
Q47141,P0A9F3
Q47141,P77744
Q47141,P77171
Q47141,P77309
Q47141,P77559
Q47141,Q47083
Q47141,Q47005
Q47141,P0ACR4
Q47141,P23841
Q47141,P0ACR7
Q47141,P33634
Q47141,P03030
Q47141,P0ACQ7
Q47141,P05827
Q47141,P0A9F9
Q47141,P0ACQ4
P0CI31,P0AEK2
P0CI31,P0AET8
P0CI31,P33368
P0CI31,P37440
P0CI31,P76633
P0CI31,P37769
P0CI31,P52037
P0CI31,P0A9P9
P77650,P37596
P0AD47,P42619
P77360,P75691
P77360,P25437
P77360,P77316
P77360,P39451
P77360,P38105
P77360,P77280
P77360,P77539
P77360,P0A9S3
P77360,P07913
P77360,P39346
P77360,P39400
P77315,P77672
P77315,P0AFS1
P77315,P0AE26
P77315,P23200
P77315,P0AGI4
P77315,P0AGI1
P77315,P32720
P77315,P39328
P77315,P37772
P77509,P31060
P77509,P0A9U1
P77509,P0A9U3
P77509,P75796
P77509,P43672
P77509,P77257
P77509,P0AAF3
P77509,P0AAG8
P77509,P33916
P77509,P37388
P77509,P04983
P77509,P32721
P77509,Q6BEX0
P77509,P0A9W3
P77269,P39265
P76586,P0AF20
P76586,P50456
P0A9Z1,P0AC55
P0AFU4,P77743
P0AFU4,P37344
P0AFU4,Q06065
P0AFU4,P0AFB8
P0AFU4,P14375
P52101,P76339
P52101,P0AEJ4
P37767,P46118
P37767,P77245
P37767,P0ACS7
P0AGB6,P23484
P10902,P0AC41
P10902,P00363
P21507,P25888
P21507,P21693
P21507,P0A9P6
P21507,P0A8J8
P33634,P30864
P33634,P27111
P33634,P52696
P33634,P0A9F3
P33634,P77309
P33634,P77559
P33634,Q47083
P33634,Q47005
P33634,P0ACR4
P33634,P23841
P33634,P0ACR7
P33634,Q47141
P33634,P03030
P33634,P0ACQ4
P38101,P0AG34
P0AGJ5,P63177
P0AGG4,P0AA25
P0AEX3,P76350
P0AEX3,P41036
P0AEX3,P37643
P0AEX3,P0C0L7
P0AEX3,P39352
P63284,P0ABH9
P33643,P0AA37
P33643,P0AA39
P33643,P0AA41
P0AD49,P0AFX0
P00888,P0AB91
P00888,P00887
P37908,P0AE45
P32053,P37326
P32053,P76542
P52125,P77657
P52131,P75678
P52132,P77206
O52982,P77365
P52135,P77162
P52139,P75676
P52140,Q47685
P52140,P76362
P52140,P25531
P58033,Q9XB42
P58033,P64521
P52141,Q47684
P52141,P76364
Q46953,P77692
Q46953,P64524
P25526,P17445
P25526,P23883
P25526,P80668
P25526,P25553
P25526,P77674
P25526,P76149
P25526,P76217
P25526,P37685
P22256,P23893
P22256,P12995
P22256,P50457
P22256,P77581
P22256,P42588
P22256,P18335
P25527,P15993
P25527,Q47689
P25527,P0AAE2
P25527,P77400
P25527,P24207
P25527,P0AAF1
P25527,P76037
P25527,P77610
P25527,P0AAE5
P25527,P0AA47
P25527,P25737
P25527,P45539
P25527,P27837
P25527,P60061
P25527,P0AAE8
P25527,P0AAE0
P37338,P76114
P37338,P0ACM2
P0ACG1,P0ACF8
P39452,P00452
P37146,P69924
P27303,P75777
P27303,P76185
P27303,P52599
P27303,P46482
P27303,P37626
P27303,P32716
P0AEJ0,P76269
P0AEJ0,P36554
P0AEJ0,P52600
P0AEJ0,P31474
P77475,P77366
P77475,P77247
P77475,P77625
P77475,P32662
P77475,P31467
P0A6G3,P31131
P05707,P15047
P05707,P0AEK2
P05707,P39831
P05707,P0AET8
P05707,P33368
P05707,P37440
P05707,P76633
P05707,P37769
P05707,P52037
P05707,P0AG84
P05707,P39333
P05707,P0A9P9
P15082,P0ACK5
P15082,P76034
P15082,P77721
P15082,P52598
P15082,P0ACK8
P15082,P0ACK2
P15082,P32144
P15082,P0A9W0
P15082,P39361
P17115,P45395
P37013,Q06065
P37596,P0A9P0
P37596,P00393
P37596,P77650
P0AAK4,P18776
P0AAK4,P0AAJ1
P0AAK4,P77375
P0AAK4,P0AAL6
P0AAK4,P23481
P0AAK4,P0AAK1
P0AAK4,Q46819
P0AAK4,P56256
P0AAK4,P0AAK7
P24242,P0ACP1
P24242,P03023
P24242,P77615
P24242,P18811
P24242,P0ACP7
P24242,P25748
P24242,P03024
P24242,P06846
P24242,P0ACP5
P24242,P0ACQ0
P24242,P0ACN7
P24242,P36673
P24242,P39343
P24241,P77272
P24241,P08722
P24241,P36672
P24240,Q46829
P24240,P11988
P0AEV7,P77453
P16433,P77668
P16432,P77423
P16431,P33599
P16431,P77329
P16430,P0AFD4
P16430,P77858
P16429,P0AFE8
P16429,P33607
P16429,P23482
P16429,P77416
P0AAK1,P18776
P0AAK1,P0AAJ1
P0AAK1,P0AAL6
P0AAK1,P23481
P0AAK1,P0AAK4
P0AAK1,Q46819
P0AAK1,P56256
P0AAK1,P0AAK7
P0A700,P0A703
P0AAM3,P0AAM7
P19323,P71229
P55799,P55798
P52598,P0ACK5
P52598,P76034
P52598,P77721
P52598,P15082
P52598,P0ACK8
P52598,P0ACK2
P52598,P32144
P52598,P0A9W0
P52598,P39361
Q46888,P77161
Q46888,P0ABQ2
Q46888,P0A9V8
Q46890,P0AB87
Q46890,P39306
Q46891,P30147
Q46892,P08555
Q46892,P39835
Q46892,P0AC96
Q46892,P39344
Q46892,P39357
Q46892,P0AC94
P13445,P0AEM6
P13445,P0AGB3
P0ADA3,Q46798
P23845,P0CE47
P23845,P0CE48
Q46904,P68644
Q46904,P77337
Q46905,P68646
Q46905,P77714
Q46907,P31574
Q46907,P77378
Q46909,P31679
Q46909,P77589
Q46909,P24077
Q46909,P38055
Q46909,P76230
Q46909,P76350
Q46909,P0AE24
Q46909,P0AEP1
Q46909,P41036
Q46909,P0AGF4
Q46909,P0C0L7
Q46909,P39352
Q46911,P0AEP9
P76633,P0AFP4
P76633,P15047
P76633,P0AEK2
P76633,P31808
P76633,P39831
P76633,P0AET8
P76633,P33368
P76633,P37440
P76633,P0CI31
P76633,P05707
P76633,P37769
P76633,P52037
P76633,P0AG84
P76633,P39333
P76633,P0A9P9
P77031,P32135
P55138,P08204
P55138,P77432
P55138,P11553
P55138,P09099
P55138,P37677
P55138,P0A6F3
P0AE72,P08365
P0AG20,P0AG24
P55135,P75817
P0AEC5,P0AEC3
P0AES2,Q46915
Q46915,P0AES2
Q46916,P77589
Q46916,P08194
Q46916,P76470
Q46916,P0AA78
Q46916,P0AA80
Q46916,P37643
Q46916,P09836
Q46916,P0AA76
Q46916,P39352
Q46916,P39398
P65367,P03817
P0AA41,P0AA37
P0AA41,P0AA39
P0AA41,P33643
P0AAD6,P0AAD8
P30744,P16095
P30744,P42630
P0A9S1,P76553
P0A9S1,Q46856
P0A9S1,P37686
P0AB87,Q46890
P11551,P21503
P11553,P77432
P11553,P55138
P11553,P09099
P11553,P37677
P11553,P0A6F3
P0ACK8,P0ACK5
P0ACK8,P76034
P0ACK8,P77721
P0ACK8,P15082
P0ACK8,P52598
P0ACK8,P0ACK2
P0ACK8,P32144
P0ACK8,P0A9W0
P0ACK8,P39361
P0A9F6,P30864
P0A9F6,Q57083
P0A9F6,P27111
P0A9F6,P75836
P0A9F6,P77333
P0A9F6,P76250
P0A9F6,P46068
P0A9F6,P45463
P0A9F6,P67662
P0A9F6,P37641
P65292,P65294
Q46925,P77444
P0AGF2,P76194
P63883,P36548
P0A6C5,P0A6C8
P05458,P31828
P37177,P77439
P37177,P08839
P65294,P65292
P0A9T4,P77735
P0A9T4,P25906
P0A9T4,P76187
P0A9T4,P77256
P0A9T4,P76234
P0A9T4,Q46851
P31119,P69451
P03024,P0ACP1
P03024,P03023
P03024,P77615
P03024,P18811
P03024,P0ACP7
P03024,P25748
P03024,P24242
P03024,P06846
P03024,P0ACP5
P03024,P0ACQ0
P03024,P0ACN7
P03024,P36673
P03024,P39343
P03030,P27111
P03030,P52696
P03030,P0A9F3
P03030,P77309
P03030,P77559
P03030,Q47083
P03030,Q47005
P03030,P0ACR4
P03030,P23841
P03030,P0ACR7
P03030,Q47141
P03030,P33634
P03030,P05827
P03030,P0A9F9
P03030,P0ACQ4
P0AE24,P31679
P0AE24,P77589
P0AE24,P38055
P0AE24,P76230
P0AE24,Q46909
P0AE24,P0AEP1
P0AE24,P41036
P0AE24,P0AGF4
P0AE24,P39352
P37769,P15047
P37769,P0AEK2
P37769,P31808
P37769,P39831
P37769,P0AET8
P37769,P33368
P37769,P37440
P37769,P0CI31
P37769,P05707
P37769,P76633
P37769,P52037
P37769,P0AG84
P37769,P39333
P37769,P0A9P9
Q46939,P0C7L2
Q46939,P76461
Q46939,P76503
Q46939,P21151
P0CF56,P37007
P0CF56,P0CF53
P0CF56,P0CF54
P0CF56,P0CF55
P0CF56,P0CF57
P0CF56,P19769
P0CF56,P0CF58
P0CF43,P0CF40
P0CF43,P0CF41
P0CF43,P0CF42
P0CF43,P0CF44
P0CF43,P0CF45
Q46798,P0ADA3
Q46799,P77489
Q46799,Q46814
Q46800,P77324
Q46800,P64557
Q46801,P77165
Q46802,P76016
Q46803,P06960
Q46803,P04391
P65807,P0AED7
P65807,P23908
Q46806,P77671
Q46807,P77624
Q46807,P37306
Q46812,P76641
P64557,P77324
P64557,Q46800
Q46814,P77489
Q46814,Q46799
P67444,P77328
P67444,P75892
P67444,P0AGM7
P67444,Q46821
P67444,P0AGM9
P76641,Q46812
Q46817,P31440
Q46817,P31466
Q46817,P0AF52
Q46819,P18776
Q46819,P0AAJ1
Q46819,P77375
Q46819,P0AAL6
Q46819,P23481
Q46819,P0AAK4
Q46819,P0AAK1
Q46819,P56256
Q46819,P0AAK7
Q46820,P76440
Q46820,P37127
Q46820,P09832
Q46821,P77328
Q46821,P75892
Q46821,P0AGM7
Q46821,P67444
Q46821,P0AGM9
P0A8N3,P0A8M0
P0A8N3,P21889
P0A8N3,P0A8N5
P0A8N3,P0A8N7
P07012,P0A7I0
P0A8P8,P0A8P6
P0A8P8,P0ADH5
P0ABY4,P61949
Q46829,P24240
Q46829,P11988
P52037,P15047
P52037,P0AEK2
P52037,P31808
P52037,P39831
P52037,P0AET8
P52037,P33368
P52037,P37440
P52037,P0CI31
P52037,P05707
P52037,P76633
P52037,P37769
P52037,P0AG84
P52037,P39333
P52037,P0A9P9
P25535,P75728
P25535,P25534
P25534,P75728
P25534,P25535
P0A9T0,P52643
P0A9T0,P05459
P0A9T0,P37666
P52045,P31551
P52045,P76082
P52045,P77467
P52045,P0ABU0
P0C0S1,P0AEB5
P0AB71,P77704
P0AB71,P0C8J6
P0AB71,P0AB74
P0A9B6,P0A9B2
P21437,P0A9C9
P69826,P00550
P69824,P69820
P69824,P39363
P27302,P77488
P27302,P33570
P25894,P43674
P0AEP1,P31679
P0AEP1,P77589
P0AEP1,P38055
P0AEP1,P76230
P0AEP1,Q46909
P0AEP1,P0AE24
P0AEP1,P0AGF4
P00805,P0A962
P0AFF4,P76417
P0AFF4,P45562
P0AFF4,Q47142
P21169,P52095
P21169,P24169
P21169,P28629
P21169,P0A9H3
Q46836,P25960
Q46839,P33231
P52074,P0A996
P0AEP9,Q46911
P0ACL5,P0ACL9
P0ACL5,P0ACM2
P0ACL5,P0ACL2
P0ACL5,P0A8W0
P0ACL5,P0ACL7
P0ACL5,P31460
P0ACL5,P39161
P0CE56,P0CE49
P0CE56,P0CE50
P0CE56,P0CE51
P0CE56,P0CE52
P0CE56,P76071
P0CE56,P0CE53
P0CE56,P0CE54
P0CE56,P0CE55
P0CE56,P0CE57
P0CE56,P0CE58
P64572,Q46843
P64572,Q46844
Q46843,P64572
Q46843,Q46844
Q46844,P64572
Q46844,Q46843
P43676,P0AFJ7
Q46845,P0ACA7
Q46845,P77526
P0AAM7,P0AAM3
P0A703,P0A700
P37182,P19930
P0ACE0,P0ACD8
P0AAJ8,P0AAJ3
P0AAJ8,P0AAK7
P69741,P69739
Q46851,P77735
Q46851,P25906
Q46851,P77256
Q46851,P76234
Q46851,P0A9T4
P0AG84,P0AFP4
P0AG84,P15047
P0AG84,P0AEK2
P0AG84,P31808
P0AG84,P39831
P0AG84,P0AET8
P0AG84,P33368
P0AG84,P37440
P0AG84,P05707
P0AG84,P76633
P0AG84,P37769
P0AG84,P52037
P0AG84,P39333
P0AG84,P0A9P9
P0ABV2,P0ABV6
P0ABU7,P0ABU9
P06721,P00935
P0AA60,P33366
P0AA60,P0ABP6
P0AA60,P0AA63
Q46856,P76553
Q46856,P0A9S1
Q46856,P37686
Q46857,P30863
Q46857,P77256
Q46857,P76234
P65298,P69776
P26648,P36649
P0AFI2,P0AES4
Q46863,P75797
Q46863,P23843
Q46863,Q47622
Q46863,P77348
Q46863,P76128
Q46863,P33590
Q46863,P23847
P0ADU5,P31130
P52076,P0AFJ5
P52076,P0ACZ8
P52076,P21866
P52076,P38684
P52076,P23836
P52076,P52108
P52076,P76340
P52076,P69228
P52076,P0AA16
P52076,P0AE88
P52076,P30843
P52076,P08368
P52076,P0A9Q1
P40719,P77485
P40719,P18392
P40719,P76339
P40719,P30847
P40719,P0AE82
P40719,P30844
P20083,P0AES6
Q93K97,P37128
P02930,P77211
P02930,P32714
P0ADT5,P33222
P39834,P37909
P39834,P77288
P0CF44,P0CF40
P0CF44,P0CF41
P0CF44,P0CF42
P0CF44,P0CF43
P0CF44,P0CF45
P0CF57,P37007
P0CF57,P0CF53
P0CF57,P0CF54
P0CF57,P0CF55
P0CF57,P0CF56
P0CF57,P19769
P0CF57,P0CF58
P76656,P75748
P0AC16,P0AC19
P45463,P30864
P45463,Q57083
P45463,P75836
P45463,P77333
P45463,P76250
P45463,P46068
P45463,P0A9F6
P45463,P67662
P45463,P37641
P39414,P0AE74
P39414,P75763
P42588,P23893
P42588,P12995
P42588,P50457
P42588,P77581
P42588,P22256
P42588,P18335
P06846,P03023
P06846,P77615
P06846,P18811
P06846,P0ACP7
P06846,P25748
P06846,P24242
P06846,P03024
P06846,P0ACP5
P06846,P0ACQ0
P06846,P0ACN7
P06846,P39343
P06864,P00722
P42590,P75835
P42590,P63235
P42590,P39282
P42598,P0AFY2
P0AGE4,P77529
P0AGE4,P0A830
P0AGE4,P21345
P42604,P39829
P0AA78,P52067
P0AA78,P08194
P0AA78,P76470
P0AA78,Q46916
P0AA78,P0AA80
P0AA78,P09836
P0AA78,P0AA76
P0AA78,P39352
P0AA78,P39398
P0ACL2,P0ACL9
P0ACL2,P0ACL5
P0ACL2,P0A8W0
P0ACL2,P0ACL7
P0ACL2,P31460
P0ACL2,P39161
P0AA63,P30149
P0AA63,P33366
P0AA63,P0ABP6
P0AA63,P0AA60
P64581,P0AEH5
P42619,P0AD47
P64590,P64592
P64592,P64590
P67660,P77700
P67660,P0ACR0
P67660,P0ACR2
P67660,P76369
P42624,P46852
P42628,P37660
P42630,P16095
P42630,P30744
P0AGL2,P0AFQ5
P0AGL2,P0AF93
P42632,P09373
P11868,P0A6A3
P0AAD8,P0AAD6
P0AGF6,P04968
P0ACQ7,P27111
P0ACQ7,P52696
P0ACQ7,P77744
P0ACQ7,P77309
P0ACQ7,P77559
P0ACQ7,Q47005
P0ACQ7,P0ACR4
P0ACQ7,P23841
P0ACQ7,P0ACR7
P0ACQ7,Q47141
P0ACQ7,P0ACQ4
P23524,P77364
P0ABQ2,P77161
P0ABQ2,Q46888
P0ABQ2,P0A9V8
P23522,P76469
P0AA80,P77589
P0AA80,P31122
P0AA80,P08194
P0AA80,P76470
P0AA80,Q46916
P0AA80,P0AA78
P0AA80,P37643
P0AA80,P09836
P0AA80,P0AA76
P0AA80,P39352
P0AA80,P39398
P39829,P42604
P0ACK2,P0ACK5
P0ACK2,P76034
P0ACK2,P77721
P0ACK2,P15082
P0ACK2,P52598
P0ACK2,P0ACK8
P0ACK2,P32144
P0ACK2,P0A9W0
P0ACK2,P39361
P0C8K0,P0C8J8
P42904,P42909
P0AB74,P77704
P0AB74,P0C8J6
P0AB74,P0AB71
P42909,P42904
P42910,P69801
P42911,P69805
P42912,P0A759
P42912,P31470
P42914,P33128
P42914,P77249
P42914,P75749
P42914,P75856
P42914,P40876
P42914,P77599
P42914,P31697
P42915,P33129
P42915,P77468
P42915,P75750
P42915,P75857
P42915,P33341
P42915,P45420
P42915,P30130
P43319,P75858
P66817,P63224
P64596,P0AFH8
P45470,Q46948
P63417,P39368
P45527,P76403
P0AAD2,P0AAD4
P0AAD2,P23173
P0A9P6,P25888
P0A9P6,P21693
P0A9P6,P21507
P0A9P6,P0A8J8
P42640,P0CB39
P42640,P30845
P31120,P24175
P0A6W5,P30128
P0AA73,P31125
P0AA73,P31437
P0AD57,P22939
P63386,P31548
P63386,P36879
P63386,P07821
P63386,P30750
P63386,P37009
P63386,Q47538
P63386,P77279
P63386,P0A9T8
P63386,P23878
P63386,P0AAG3
P63386,P10346
P63386,P0AAF6
P63386,P0AAI1
P63386,P75957
P63386,P76027
P63386,P77737
P63386,P0AAH8
P63386,P0AAH4
P63386,P77795
P63386,P77622
P63386,P77268
P63386,P06611
P63386,P76909
P63386,P0A9X1
P63386,P37774
P63386,P33360
P63386,P07109
P63386,P0A9V1
P63386,P45769
P63386,P22731
P63386,P0A9S7
P63386,P0A9R7
P63386,P33593
P63386,P33594
P63386,P37313
P63386,P0AAG0
P63386,P0AAH0
P63386,P16679
P63386,P16678
P63386,P16677
P63386,P15031
P45395,P17115
P0A9V1,P31548
P0A9V1,P36879
P0A9V1,P07821
P0A9V1,P30750
P0A9V1,P37009
P0A9V1,Q47538
P0A9V1,P77279
P0A9V1,P0A9T8
P0A9V1,P23878
P0A9V1,P0AAG3
P0A9V1,P10346
P0A9V1,P0AAF6
P0A9V1,P0AAI1
P0A9V1,P75957
P0A9V1,P76027
P0A9V1,P77737
P0A9V1,P0AAH8
P0A9V1,P0AAH4
P0A9V1,P77795
P0A9V1,P77622
P0A9V1,P77268
P0A9V1,P06611
P0A9V1,P76909
P0A9V1,P0A9X1
P0A9V1,P37774
P0A9V1,P33360
P0A9V1,P33931
P0A9V1,P07109
P0A9V1,P63386
P0A9V1,P45769
P0A9V1,P22731
P0A9V1,P0A9S7
P0A9V1,P0A9R7
P0A9V1,P33594
P0A9V1,P37313
P0A9V1,P0AAG0
P0A9V1,P0AAH0
P0A9V1,P16678
P0A9V1,P16677
P0A9V1,P15031
P0AFX0,P0AD49
P69829,P32155
P0A9N0,P0AA04
P0AEC3,P0AEC5
P09832,P76440
P09832,P37127
P09832,Q46820
P28721,P45422
P45420,P33129
P45420,P77468
P45420,P75857
P45420,P33341
P45420,P42915
P45420,P30130
P0CE57,P0CE49
P0CE57,P0CE50
P0CE57,P0CE51
P0CE57,P0CE52
P0CE57,P76071
P0CE57,P0CE53
P0CE57,P0CE54
P0CE57,P0CE55
P0CE57,P0CE56
P0CE57,P0CE58
P45422,P28721
P45424,P37673
P45424,P0AF96
P45425,P23917
P45425,P0AF20
P45425,P75959
P45425,P50456
P45425,P32718
P41036,P31679
P41036,P77589
P41036,P77726
P41036,P25744
P41036,P38055
P41036,P76230
P41036,P76350
P41036,P0AEX3
P41036,Q46909
P41036,P0AE24
P41036,P37643
P41036,P0C0L7
P41036,P39352
P0A6L4,P75682
P0A6L4,P0A6L2
P0A6L4,P39359
P0A8W0,P0ACL9
P0A8W0,P0ACL5
P0A8W0,P0ACL2
P0A8W0,P0ACL7
P0A8W0,P31460
P0A8W0,P39161
P45428,P0ABP3
P39099,P0C0V0
P39099,P0AEE3
P0AEE3,P0C0V0
P0AEE3,P39099
P46481,P76186
P46482,P76185
P46482,P52599
P46482,P27303
P46482,P0AFV0
P46482,P32716
P67662,P30864
P67662,P75836
P67662,P77333
P67662,P76250
P67662,P0A9F6
P67662,P45463
P67662,P37641
P0AGG8,P0AFK0
P25536,P0A729
P13518,P77334
P13518,P37649
P26646,P28304
P16256,P07117
P16256,P31448
P16256,P32705
P0ABT5,P33371
P0ABT5,P32695
P0ACT2,P0ACS9
P24180,P0AE06
P24180,P75830
P24180,P76397
P24180,P37636
P24180,P32716
P24181,P31224
P24181,P38054
P24181,P76398
P24181,P76399
P24181,P24177
P24181,P37637
P45769,P31548
P45769,P36879
P45769,P07821
P45769,P30750
P45769,P37009
P45769,Q47538
P45769,P77279
P45769,P0A9T8
P45769,P23878
P45769,P0AAG3
P45769,P10346
P45769,P31134
P45769,P0AAF6
P45769,P0AAI1
P45769,P75957
P45769,P69874
P45769,P76027
P45769,P77737
P45769,P0AAH8
P45769,P0AAH4
P45769,P77795
P45769,P77622
P45769,P77268
P45769,P76909
P45769,P0A9X1
P45769,P37774
P45769,P33360
P45769,P07109
P45769,P16676
P45769,P63386
P45769,P0A9V1
P45769,P22731
P45769,P0A9S7
P45769,P0A9R7
P45769,P33593
P45769,P33594
P45769,P37313
P45769,P0AAG0
P45769,P0AAH0
P45769,P68187
P45769,P16679
P45769,P16678
P45769,P16677
P45769,P15031
P0A9W9,P39206
P0A9W9,P77181
P15770,P0A6D5
P45748,P0AFR4
P36929,P76273
P0ACS5,P0A9G4
P45759,P36645
P41441,P36646
P25960,Q46836
P0CE47,P23845
P0CE47,P0CE48
P0A6M8,P0DTT0
P45523,P0A9L3
P0A9K9,P0AEM0
P45522,P03819
P45522,P39830
P0A756,P0A754
P63389,P0A9U1
P63389,P0A9U3
P63389,P43672
P63389,P33916
P63389,P04983
P63389,Q6BEX0
P63389,P0A9W3
P0ACJ8,P0A9E5
P45537,P75870
P18335,P23893
P18335,P12995
P18335,P50457
P18335,P77581
P18335,P22256
P18335,P42588
P0AFL3,P23869
P60778,P52067
P60778,P76197
P60778,P76198
P0AC26,P0AC23
P0AC26,P77733
P45539,P15993
P45539,Q47689
P45539,P0AAE2
P45539,P77400
P45539,P24207
P45539,P0AAF1
P45539,P76037
P45539,P77610
P45539,P0AAE5
P45539,P0AA47
P45539,P25737
P45539,P25527
P45539,P27837
P45539,P60061
P45539,P0AAE8
P45539,P39277
P45539,P0AAE0
P45543,P77493
P45543,P0A9J6
P45543,P32143
P45544,P13669
P45544,P0ACM5
P45544,P31453
P45544,P0ACM9
P45544,P16684
P45549,P0A6K6
P32662,P77366
P32662,P77247
P32662,P77475
P0AG07,P32719
P0AG07,P39362
P0A6D7,P0A6E1
P02918,P02919
P45799,P37128
P0AEJ4,P52101
P0AEJ4,P0AE82
P0AA16,P0AFJ5
P0AA16,P0ACZ8
P0AA16,P21866
P0AA16,P38684
P0AA16,P23836
P0AA16,P52108
P0AA16,P76340
P0AA16,P69228
P0AA16,P52076
P0AA16,P0AE88
P0AA16,P30843
P0AA16,P08368
P0AA16,P0A9Q1
P30128,P0A6W5
P31667,P31665
P31667,P37014
P31667,P77768
P39835,P08555
P39835,Q46892
P39835,P0AC96
P39835,P39344
P39835,P39357
P39835,P0AC94
P00490,P0AC86
P13035,P0A9C0
P0AC86,P00490
P0A6V1,P0ACC7
P0A6V1,P61887
P0A9Q9,P08390
P67143,P25743
P67143,P0AEY1
P0AC96,P08555
P0AC96,Q46892
P0AC96,P39835
P0AC96,P39344
P0AC96,P39357
P0AC96,P0AC94
P46859,P39208
P0ACP5,P0ACP1
P0ACP5,P03023
P0ACP5,P77615
P0ACP5,P18811
P0ACP5,P0ACP7
P0ACP5,P25748
P0ACP5,P24242
P0ACP5,P03024
P0ACP5,P06846
P0ACP5,P0ACQ0
P0ACP5,P0ACN7
P0ACP5,P36673
P0ACP5,P39343
P46852,P42624
P46853,P77376
P0CF12,P0CF07
P0CF12,P0CF08
P0CF12,P0CF09
P0CF12,P0CF10
P0CF12,P0CF11
P0CF12,P19767
P0CF29,P0CF25
P0CF29,P0CF26
P0CF29,P0CF27
P0CF29,P57998
P0CF29,P0CF28
P10907,P30750
P10907,P37009
P10907,P10346
P10907,P31134
P10907,P69874
P10907,P76027
P10907,P77795
P10907,P77622
P10907,P77268
P10907,P33360
P10907,P16676
P10907,P37313
P10907,P0AAG0
P10907,P0AAH0
P10907,P68187
P10906,P77716
P10906,P68183
